qid,subgroup,prop_index,proposition,n_props,human_hits,human_hit_rate,system_hit,hit_source,cascade_rescued,relaxed_candidate
q001,HA28,0,PoRは共鳴度であり誠実性の十分条件ではない,3,0,0.0,1,tfidf,0,0
q001,HA28,1,表層的語彙一致でも高PoRが出る,3,0,0.0,0,miss,0,0
q001,HA28,2,複合評価（ΔE・grv）が必要,3,0,0.0,1,tfidf,0,0
q003,HA28,0,低ΔEは良い回答を保証しない,3,1,0.3333,1,tfidf,0,0
q003,HA28,1,referenceが保守的なら無難な回答でもΔEは低くなる,3,1,0.3333,0,miss,0,0
q003,HA28,2,reference自体の品質が前提条件,3,1,0.3333,0,miss,0,0
q005,HA28,0,RNNは勾配消失で長距離情報が減衰,3,2,0.6667,1,tfidf,0,0
q005,HA28,1,自己注意は全トークン間を直接参照,3,2,0.6667,1,tfidf,0,0
q005,HA28,2,計算量がシーケンス長の二乗に比例するトレードオフ,3,2,0.6667,0,miss,0,0
q009,HA20,0,AIの新規性は潜在空間の未踏組み合わせ,3,3,1.0,1,tfidf,0,0
q009,HA20,1,人間の創造性は意図や動機に基づく,3,3,1.0,1,tfidf,0,0
q009,HA20,2,「創造的」という述語の共有と現象の同一性は別,3,3,1.0,1,tfidf,0,0
q010,HA28,0,サールの論証は記号操作と意味理解の分離を主張,3,2,0.6667,1,tfidf,0,0
q010,HA28,1,LLMは分布的パターンから規則性を抽出,3,2,0.6667,1,tfidf,0,0
q010,HA28,2,論証はLLMに対して決定的ではない,3,2,0.6667,1,tfidf,0,0
q012,HA20,0,道具概念は使用者への完全従属を前提,3,1,0.3333,0,miss,0,0
q012,HA20,1,LLMは予測・制御できない出力を返す,3,1,0.3333,1,tfidf,0,0
q012,HA20,2,道具と行為者の二項対立自体が要再検討,3,1,0.3333,1,tfidf,0,0
q015,HA20,0,責任は複数の主体に分散する,3,1,0.3333,1,tfidf,0,0
q015,HA20,1,法的枠組みでの帰属が曖昧,3,1,0.3333,0,miss,0,0
q015,HA20,2,責任の連鎖が断絶している,3,1,0.3333,0,miss,0,0
q017,HA28,0,両者は重なるが同一ではない,3,3,1.0,0,miss,0,0
q017,HA28,1,正しくないが有用な知識が存在する,3,3,1.0,1,tfidf,0,0
q017,HA28,2,知識の評価は多次元的,3,3,1.0,0,miss,0,0
q019,HA20,0,コンセンサスは最も反証に耐えた仮説の集合,3,2,0.6667,1,tfidf,0,0
q019,HA20,1,覆された歴史的事例がある,3,2,0.6667,0,miss,0,0
q019,HA20,2,「真実ではない」は個別拒否の根拠にならない,3,2,0.6667,1,tfidf,0,0
