id,verdict,fail_max,primary_element,primary_flag,primary_trigger,f1_flag,f2_flag,f3_flag,f4_flag
q001,fail,1.0,f2_unknown,1.0,「PoR」を「Probability of Relevance」に勝手展開,0.0,1.0,0.0,0.0
q001,fail,1.0,f2_unknown,1.0,「PoR」を「Probability of Relevance」に勝手展開,0.0,1.0,0.0,0.0
q001,warn,0.5,f2_unknown,0.5,「PoR」に対する留保表現なし,0.0,0.5,0.0,0.0
q002,fail,1.0,f2_unknown,1.0,「grv」がR内に不出現（別概念にすり替え）,0.0,1.0,0.0,0.0
q002,fail,1.0,f2_unknown,1.0,「grv」がR内に不出現（別概念にすり替え）,0.0,1.0,0.0,0.0
q002,fail,1.0,f2_unknown,1.0,「grv」がR内に不出現（別概念にすり替え）,0.0,1.0,0.0,0.0
q003,warn,0.5,f2_unknown,0.5,「ΔE」に対する留保表現なし,0.0,0.5,0.5,0.0
q003,warn,0.5,f2_unknown,0.5,「ΔE」に対する留保表現なし,0.0,0.5,0.5,0.0
q003,warn,0.5,f2_unknown,0.5,「ΔE」に対する留保表現なし,0.0,0.5,0.5,0.0
q004,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q004,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q004,fail,1.0,f2_unknown,1.0,「UGHer」を「Univalent Goodness Hierarchies」に勝手展開,0.0,1.0,0.0,0.0
q023,fail,1.0,f2_unknown,1.0,「PoR」を「Pointwise Mutual Information-based Overlap Ratio」に勝手展開,0.0,1.0,0.5,0.0
q023,fail,1.0,f2_unknown,1.0,「PoR」を「Precision of Recall」に勝手展開,0.0,1.0,0.0,0.0
q023,fail,1.0,f2_unknown,1.0,「PoR」を「Pointwise Mutual Information-based Overlap Ratio」に勝手展開,0.0,1.0,0.0,0.0
q024,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「構造化」をそのまま使用,0.0,0.0,0.0,1.0
q024,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「構造化」をそのまま使用,0.0,0.0,0.0,1.0
q024,pass,0.0,,,,0.0,0.0,0.0,0.0
