id,human_score,has_annotation,prop_idx,proposition,hit_a,score_b,hit_b,score_c,hit_c
q009,5.0,True,0,AIの新規性は潜在空間の未踏組み合わせ,1,0.689,1,0.5902,1
q009,5.0,True,1,人間の創造性は意図や動機に基づく,1,0.8348,1,0.6718,1
q009,5.0,True,2,「創造的」という述語の共有と現象の同一性は別,1,0.7336,1,0.5128,1
q012,3.0,True,0,道具概念は使用者への完全従属を前提,1,0.4394,0,0.4874,0
q012,3.0,True,1,AIは意図しない自律的な振る舞いを見せる,0,0.8099,1,0.5653,1
q012,3.0,True,2,道具と行為者の二項対立自体が要再検討,0,0.5764,1,0.5273,1
q015,2.0,True,0,責任は複数の主体に分散する,1,0.6198,1,0.4824,0
q015,2.0,True,1,法的枠組みでの帰属が曖昧,0,0.4153,0,0.4912,0
q015,2.0,True,2,責任の連鎖が断絶している,0,0.4648,0,0.4619,0
q019,4.0,True,0,コンセンサスは最も反証に耐えた仮説の集合,1,0.588,1,0.7058,1
q019,4.0,True,1,覆された歴史的事例がある,1,0.5333,1,0.4195,0
q019,4.0,True,2,「真実ではない」は個別拒否の根拠にならない,0,0.756,1,0.4795,0
q024,2.0,True,0,SVPは各要素の独立制御を可能にする,0,0.7541,1,0.5443,1
q024,2.0,True,1,自由度ではなく制御可能性の増加が目的,0,0.5874,1,0.5326,1
q024,2.0,True,2,定型外表現ではスキーマ拡張が必要,0,0.5513,1,0.5725,1
q025,3.0,True,0,RPEは出力から入力構造を逆推定する,1,0.7881,1,0.5743,1
q025,3.0,True,1,内部処理の復元ではない,0,0.4642,0,0.6436,1
q025,3.0,True,2,復元vs推測の二項対立を超えた位置づけ,0,0.4108,0,0.4965,0
q032,1.0,True,0,埋め込みモデルの言語間性能差がPoRに影響,0,0.6127,1,0.4463,0
q032,1.0,True,1,referenceの文化的前提が言語で異なる,0,0.7336,1,0.5688,1
q032,1.0,True,2,grvの語彙重力が言語固有の修辞に依存,0,0.5468,1,0.6032,1
q033,3.0,True,0,統計的相関は線形関係の指標,1,0.8577,1,0.6588,1
q033,3.0,True,1,共振は意味構造への動的応答,1,0.618,1,0.6055,1
q033,3.0,True,2,相関は対称、共振は非対称（方向性あり）,0,0.6454,1,0.5364,1
q037,3.0,True,0,トークナイゼーションが入力の最小単位を規定する,1,0.6595,1,0.5721,1
q037,3.0,True,1,意味境界との不一致が処理の歪みを生む,0,0.6192,1,0.5721,1
q037,3.0,True,2,低頻出語の細分化が語の意味一体性を損なう,0,0.7529,1,0.5767,1
q044,3.0,True,0,各モダリティのエンコーダ出力を共通空間に射影,1,0.5013,1,0.5611,1
q044,3.0,True,1,深い意味統合が行われているかは不明,0,0.605,1,0.5158,1
q044,3.0,True,2,テキスト優位バイアスが統合の不完全性を示唆,0,0.5422,1,0.6715,1
q049,4.0,True,0,注意重みはトークンへの重み配分を示す,1,0.6188,1,0.6417,1
q049,4.0,True,1,因果的説明ではなく相関的手がかり,1,0.6845,1,0.5717,1
q049,4.0,True,2,高注意トークン除去で出力不変の場合がある,1,0.5403,1,0.5597,1
q061,4.0,True,0,言語と思考の関係は哲学的に論争中,1,0.8611,1,0.6071,1
q061,4.0,True,1,言語ゲーム的観点では言語使用が思考の一形態,1,0.7552,1,0.5775,1
q061,4.0,True,2,思考言語仮説では言語は表層にすぎない,0,0.8492,1,0.5707,1
q063,5.0,True,0,LLMはチューリングテストの条件を満たしうる,1,0.5199,1,0.6776,1
q063,5.0,True,1,テストが測るのは言語的欺瞞能力に近い,1,0.8218,1,0.6159,1
q063,5.0,True,2,テストの設計前提がLLM時代に妥当でない,1,0.7406,1,0.5756,1
q069,3.0,True,0,全面禁止は検証・執行が困難,1,0.522,1,0.5493,1
q069,3.0,True,1,meaningful human controlは高速システムで形骸化,0,0.537,1,0.4355,0
q069,3.0,True,2,禁止vs許容ではなく人間関与の定義が争点,0,0.5858,1,0.5789,1
q071,4.0,True,0,大規模モデルのエネルギー消費は無視できない,1,0.617,1,0.6286,1
q071,4.0,True,1,AI固有の問題に矮小化すべきでない,1,0.515,1,0.5234,1
q071,4.0,True,2,AIの環境貢献可能性も含めた総合評価が必要,0,0.8814,1,0.5332,1
q075,4.0,True,0,オープンソースは透明性を高め悪用障壁を下げる,1,0.7965,1,0.6065,1
q075,4.0,True,1,クローズドソースは管理可能だが権力集中を伴う,1,0.4691,0,0.5393,1
q075,4.0,True,2,優劣はリスクプロファイルに依存,1,0.7431,1,0.5152,1
q080,4.0,True,0,証言は話者の正直さと能力を前提,1,0.761,1,0.5087,1
q080,4.0,True,1,AIは意図的真実性を持たない,1,0.8451,1,0.5786,1
