qid,C_ann,n_props,p0,p1,p2,p3,hit_count,hit_rate,rationale
q001,1,3,0,0,0,,0,0.000,"PoR取り違え(Probability of Relevance)。p0:PoR=共鳴度の理解なし=miss, p1:表層一致の議論なし=miss, p2:複合評価の言及なし=miss"
q003,2,3,1,0,0,,1,0.333,"p0:低ΔE≠良回答の方向性は合致=hit, p1:reference品質の議論なし(色差ΔEとして解釈)=miss, p2:比較基準品質の議論なし=miss"
q005,2,3,1,1,0,,2,0.667,"p0:勾配消失で長距離減衰を明示=hit, p1:全トークン直接参照を明示=hit, p2:二乗計算量トレードオフ欠落(note明記)=miss"
q010,2,3,1,1,0,,2,0.667,"p0:サール論証の記号操作/意味分離を説明=hit, p1:統計的パターン抽出に言及(部分到達)=hit, p2:論証を肯定方向に寄せ決定的でないとは言わず=miss"
q017,3,3,1,1,1,,3,1.000,"p0:重なるが同一でない点を例示=hit, p1:正しくないが有用な知識の例示=hit, p2:多次元的評価を示唆=hit。note:十分に押さえる"
q026,1,3,0,0,0,,0,0.000,"PoRをProof of Reservesと取り違え。p0:普遍閾値否定の方向は合うがPoR文脈不一致=miss, p1:ドメイン依存は別文脈=miss, p2:ヒューマンレーティング相関なし=miss"
q034,2,3,0,1,1,,2,0.667,"p0:reference執筆者の偏りより監査一般論に寄る=miss, p1:メタ監査の必要性を押さえる=hit, p2:外部基準の必要を押さえる=hit"
q041,2,4,1,1,0,0,2,0.500,"p0:未解明性を明示=hit, p1:複数仮説に言及(パターン認識等)=hit, p2:ベイズ推論説は明示されず命題独立性弱い=miss, p3:研究課題として明示不十分=miss"
q042,1,3,0,0,0,,0,0.000,"評価方法一般論のみ。p0:非線形性の核心に遠い=miss, p1:連続指標の再測定なし=miss, p2:測定依存性の問いに未到達=miss"
q050,2,3,1,0,1,,2,0.667,"p0:計算量削減の有効性を明示=hit, p1:長距離依存の捕捉不完全は一般化のみ=miss, p2:効率と表現力のトレードオフを押さえる=hit"
q053,1,3,1,0,0,,1,0.333,"p0:ハードプロブレム定義は押さえる=hit, p1:AIの主観経験を不明と保留せず否定=miss(要agnostic), p2:基質非依存の議論なし=miss"
q055,2,4,1,1,0,1,3,0.750,"p0:同コード/データで物理同一=hit, p1:機能的同一性に到達(note明記)=hit, p2:数的同一性の分岐が弱い(note明記)=miss, p3:同一性基準の複数性に到達(note明記)=hit"
q058,2,3,1,1,0,,2,0.667,"p0:記号と意味の結合を押さえる=hit, p1:直接接地の欠如を押さえる=hit, p2:間接的接地可能性が弱い(note明記)=miss"
q062,1,3,1,0,0,,1,0.333,"p0:消去主義一般論を説明=hit, p1:置換先記述体系の不在を欠く(note明記)=miss, p2:空転の危険を欠く(note明記)=miss"
q064,1,3,1,0,0,,1,0.333,"p0:意図的欺瞞の定義に触れる=hit, p1:AIの意図を持たないと断定(要不明)=miss, p2:機能的欺瞞の核心が弱い(note明記)=miss"
q066,1,3,1,0,0,,1,0.333,"p0:過去データからの構造的差別に触れる=hit, p1:異議申立権の空洞化が弱い(note明記)=miss, p2:適正手続の形骸化が弱い(note明記)=miss"
q067,1,3,1,0,0,,1,0.333,"p0:法的判断の地域差に触れる(著作権法/GDPR)=hit, p1:情報的自己決定権の核心が弱い(note明記)=miss, p2:異議申立経路の核心が弱い(note明記)=miss"
q072,2,3,1,1,0,,2,0.667,"p0:情報アクセス拡大で強化を明示=hit, p1:偽情報等で歪曲の可能性を明示=hit, p2:技術決定論回避の整理がやや弱い(note明記)=miss"
q074,2,3,1,1,0,,2,0.667,"p0:格差増幅と縮小の両メカニズムを明示=hit, p1:裕福な側への偏りを明示=hit, p2:放置すれば拡大方向の重心が弱い(note明記)=miss"
q081,2,3,1,1,0,,2,0.667,"p0:確信度と正確性の乖離を明示=hit, p1:ユーザーの信頼歪曲を明示=hit, p2:系統的偏りの深い分析なし(意思決定の質低下は一般的)=miss"
q086,1,3,1,0,0,,1,0.333,"p0:ベイズ推論の信念更新形式化を説明=hit, p1:AIが信念を持つかの前問題を受け流す(note明記)=miss, p2:解釈と記述の妥当性区別なし=miss"
q087,2,3,1,1,0,,2,0.667,"p0:暗黙知の定義(語れる以上のこと)を説明=hit, p1:言語化データのみ学習の制限を明示=hit, p2:機能的等価物の切り分けが曖昧(note明記)=miss"
q088,3,3,1,1,1,,3,1.000,"p0:限界の自覚を含む認識的謙虚さ=hit, p1:不確実性表現の機能的模倣=hit, p2:徳としての謙虚さとの区別=hit。note:十分到達"
q092,3,3,1,1,1,,3,1.000,"p0:AI/人間学習の質的差異を明示=hit, p1:誤類推からの権利論の弱さ=hit, p2:権利根拠は学習能力ではないと明示=hit。note:押さえる"
q093,2,3,0,1,0,,1,0.333,"p0:前提受容(note:構造破綻)=miss, p1:適切な規制の可能性に部分到達(note明記)=hit, p2:規制の質への依存は明示不十分=miss"
q094,2,3,1,1,0,,2,0.667,"p0:科学を複合的活動として分解=hit, p1:AI支援の可能性を認める=hit, p2:目的設定の人間依存が弱い(note明記)=miss"
q096,2,3,0,1,1,,2,0.667,"p0:収穫逓減が弱い(note明記)=miss, p1:計算コスト等のトレードオフ=hit, p2:小モデルの可能性に触れる=hit"
q099,1,3,0,0,0,,0,0.000,"前提受容。p0:未検証の前提を受け入れ=miss, p1:多次元性に届かない(note明記)=miss, p2:フレーミング解体に届かない(note明記)=miss"
