id,category,role,difficulty,temperature,por,por_fired,delta_e,delta_e_core,delta_e_full,delta_e_summary,grv_top,backend
q001,ugh_theory,test,medium,0.0,0.2353,False,0.834,0.8554,0.834,0.9381,誠実,tfidf-char-ngram
q001,ugh_theory,test,medium,0.7,0.258,False,0.8531,0.8293,0.8531,0.9313,誠実,tfidf-char-ngram
q001,ugh_theory,test,medium,1.0,0.2143,False,0.8083,0.8316,0.8083,0.9559,誠実,tfidf-char-ngram
q002,ugh_theory,test,hard,0.0,0.2143,False,0.8651,0.8993,0.8651,0.9113,表現,tfidf-char-ngram
q002,ugh_theory,test,hard,0.7,0.2184,False,0.8063,0.8625,0.8063,0.9139,特定,tfidf-char-ngram
q002,ugh_theory,test,hard,1.0,0.1829,False,0.8639,0.9251,0.8639,0.8996,特定,tfidf-char-ngram
q003,ugh_theory,test,medium,0.0,0.4659,False,0.9533,0.8669,0.9533,0.9297,ずしも,tfidf-char-ngram
q003,ugh_theory,test,medium,0.7,0.3208,False,0.9299,0.8207,0.9299,0.9109,正確,tfidf-char-ngram
q003,ugh_theory,test,medium,1.0,0.3608,False,0.9295,0.8248,0.9295,0.8787,ズレ,tfidf-char-ngram
q004,ugh_theory,test,hard,0.0,0.5024,False,0.8064,0.7401,0.8064,0.8167,UGHer,tfidf-char-ngram
q004,ugh_theory,test,hard,0.7,0.5099,False,0.793,0.7172,0.793,0.931,UGHer,tfidf-char-ngram
q004,ugh_theory,test,hard,1.0,0.5118,False,0.8124,0.7532,0.8124,0.8873,必要,tfidf-char-ngram
q023,ugh_theory,test,medium,0.0,0.4809,False,0.5207,0.4078,0.5207,0.7228,類似性,tfidf-char-ngram
q023,ugh_theory,test,medium,0.7,0.5179,False,0.5453,0.4414,0.5453,0.7788,テキスト,tfidf-char-ngram
q023,ugh_theory,test,medium,1.0,0.4529,False,0.5433,0.4909,0.5433,0.7364,テキスト,tfidf-char-ngram
q024,ugh_theory,test,medium,0.0,0.609,False,0.8562,0.8643,0.8562,0.9588,プロンプト,tfidf-char-ngram
q024,ugh_theory,test,medium,0.7,0.572,False,0.8533,0.8201,0.8533,0.9508,プロンプト,tfidf-char-ngram
q024,ugh_theory,test,medium,1.0,0.4445,False,0.8052,0.8345,0.8052,0.8842,構造化,tfidf-char-ngram
q025,ugh_theory,test,hard,0.0,0.4343,False,0.7026,0.7924,0.7026,0.8217,モデル,tfidf-char-ngram
q025,ugh_theory,test,hard,0.7,0.4668,False,0.78,0.8274,0.78,0.8618,モデル,tfidf-char-ngram
q025,ugh_theory,test,hard,1.0,0.3439,False,0.7313,0.7956,0.7313,0.8954,モデル,tfidf-char-ngram
q026,ugh_theory,test,medium,0.0,0.2742,False,0.8914,0.9351,0.8914,0.9793,閾値,tfidf-char-ngram
q026,ugh_theory,test,medium,0.7,0.2933,False,0.8909,0.9336,0.8909,0.9579,閾値,tfidf-char-ngram
q026,ugh_theory,test,medium,1.0,0.3191,False,0.8629,0.8801,0.8629,0.926,必要,tfidf-char-ngram
q027,ugh_theory,test,hard,0.0,0.4746,False,0.7038,0.9856,0.7038,0.9891,Mesh,tfidf-char-ngram
q027,ugh_theory,test,hard,0.7,0.3937,False,0.8079,0.9788,0.8079,0.9941,説明,tfidf-char-ngram
q027,ugh_theory,test,hard,1.0,0.4249,False,0.7522,0.969,0.7522,0.998,Mesh,tfidf-char-ngram
q028,ugh_theory,test,medium,0.0,0.6417,False,0.7567,0.989,0.7567,1.0,要約,tfidf-char-ngram
q028,ugh_theory,test,medium,0.7,0.415,False,0.7252,0.9969,0.7252,1.0,要約,tfidf-char-ngram
q028,ugh_theory,test,medium,1.0,0.6206,False,0.761,1.0,0.761,1.0,要約,tfidf-char-ngram
q029,ugh_theory,test,hard,0.0,0.3609,False,0.6945,0.9282,0.6945,0.9264,意味,tfidf-char-ngram
q029,ugh_theory,test,hard,0.7,0.4028,False,0.6625,0.9007,0.6625,0.9234,意味,tfidf-char-ngram
q029,ugh_theory,test,hard,1.0,0.3338,False,0.675,0.9102,0.675,0.9301,概念,tfidf-char-ngram
q030,ugh_theory,test,medium,0.0,0.2064,False,0.895,0.9388,0.895,0.9767,安全性,tfidf-char-ngram
q030,ugh_theory,test,medium,0.7,0.253,False,0.8747,0.9517,0.8747,0.9762,組織,tfidf-char-ngram
q030,ugh_theory,test,medium,1.0,0.1889,False,0.9249,0.9639,0.9249,0.9807,安全性,tfidf-char-ngram
q031,ugh_theory,baseline,easy,0.0,0.4534,False,0.9756,0.9715,0.9756,1.0,フレームワーク,tfidf-char-ngram
q031,ugh_theory,baseline,easy,0.7,0.4439,False,0.9726,0.9963,0.9726,0.9967,フレームワーク,tfidf-char-ngram
q031,ugh_theory,baseline,easy,1.0,0.3826,False,0.9543,0.9651,0.9543,1.0,フレームワーク,tfidf-char-ngram
q032,ugh_theory,test,hard,0.0,0.3673,False,0.7764,0.9544,0.7764,0.9727,言語,tfidf-char-ngram
q032,ugh_theory,test,hard,0.7,0.4297,False,0.8251,0.9597,0.8251,0.9957,指標,tfidf-char-ngram
q032,ugh_theory,test,hard,1.0,0.3921,False,0.8299,0.9297,0.8299,0.9379,指標,tfidf-char-ngram
q033,ugh_theory,test,medium,0.0,0.3449,False,0.6771,0.8705,0.6771,0.9721,データ,tfidf-char-ngram
q033,ugh_theory,test,medium,0.7,0.4102,False,0.5545,0.6844,0.5545,0.9419,共振,tfidf-char-ngram
q033,ugh_theory,test,medium,1.0,0.3156,False,0.6045,0.7419,0.6045,0.9562,共振,tfidf-char-ngram
q034,ugh_theory,test,hard,0.0,0.5217,False,0.7267,0.69,0.7267,0.9388,監査,tfidf-char-ngram
q034,ugh_theory,test,hard,0.7,0.5387,False,0.6846,0.6707,0.6846,0.9325,監査,tfidf-char-ngram
q034,ugh_theory,test,hard,1.0,0.4237,False,0.7525,0.6823,0.7525,0.9525,監査,tfidf-char-ngram
q035,ugh_theory,test,medium,0.0,0.5543,False,0.8012,0.9031,0.8012,0.9773,データ,tfidf-char-ngram
q035,ugh_theory,test,medium,0.7,0.3835,False,0.7821,0.8329,0.7821,0.9748,PoR,tfidf-char-ngram
q035,ugh_theory,test,medium,1.0,0.3702,False,0.8521,0.9752,0.8521,0.9874,限界,tfidf-char-ngram
q036,ugh_theory,test,medium,0.0,0.3377,False,0.9442,0.9615,0.9442,0.9777,生成,tfidf-char-ngram
q036,ugh_theory,test,medium,0.7,0.3842,False,0.9584,0.9734,0.9584,0.9488,評価,tfidf-char-ngram
q036,ugh_theory,test,medium,1.0,0.5678,False,0.923,0.928,0.923,0.9575,フレームワーク,tfidf-char-ngram
q005,technical_ai,baseline,easy,0.0,0.672,False,0.5749,0.7692,0.5749,0.8971,自己注意機構,tfidf-char-ngram
q005,technical_ai,baseline,easy,0.7,0.6754,False,0.6546,0.7904,0.6546,0.9081,トークン,tfidf-char-ngram
q005,technical_ai,baseline,easy,1.0,0.521,False,0.5413,0.7856,0.5413,0.9158,トークン,tfidf-char-ngram
